"Hi! Do you have a few minutes to give us your opinion about our service?","¡Hola! ¿Tienes un momento para darnos tu opinión sobre nuestro servicio??"
"Hi %name,","Hola %name,"
"We are working hard to improve our service and your opinion is very important for us. Do you like to give us your feedback about your experience in our website? Please click in the next link below:","Trabajamos muy duro para mejorar nuestro servicio y tu opinión es muy importante para nosotros. Nos quieres dar tu opinión sobre tu experiencia en nuestra web? Por favor haz click en el siguiente enlace:"
"Go to website","Ir a nuestra página"
"Give us your feedback","Danos tu opinión"
"Your opinion is very important for us! Could you complete this form to tell us your opinion about our service?","¡Tu opinión es muy importante para nosotros! ¿Podrías completar este formulario para contarnos tu opinión sobre nuestro servicio?"
"Very satisfied","Muy satisfecho"
"Satisfied","Satisfecho"
"Neutral","Neutral"
"Unsatisfied","Insatisfecho"
"Very unsatisfied","Muy insatisfecho"
"Delivery:","Entrega:"
"Product:","Producto:"
"Customer support:","Atención al cliente:"
"Comment:","Comentario:"
"Send","Enviar"
"An unspecified error occurred. Please contact us for assistance.","Lo siento, ha ocurrido un error inesperado. Por favor, prueve de contactar con nuestro servico técnico para que podamos solventar su incidéncia."
"Shipping value is required. Please enter the value and try again.","El campo Envío es obligatorio. Por favor, rellene este valor y vuelva a intentarlo."
"Product value is required. Please enter the value and try again.","El campo Producto es obligatorio. Por favor, rellene este valor y vuelva a intentarlo."
"Customer support value is required. Please enter the value and try again.","El campo Atención al cliente es obligatorio. Por favor, rellene este valor y vuelva a intentarlo."
"Invalid form key.","Clave de formulario inválida."
"Thanks for give us your opinion! :)","¡Gracias por compartir tu opinión con nosotros! :)"
"Shipping value has a wrong value. Please enter a numeric valid value","El valor Envío tiene un valor incorrecto. Por favor, introduce un valor numérico válido"
"Product value has a wrong value. Please enter a numeric valid value.","El valor Producto tiene un valor incorrecto. Por favor, introduce un valor numérico válido"
"Customer support value has a wrong value. Please enter a numeric valid value.","El valor Atención al cliente tiene un valor incorrecto. Por favor, introduce un valor numérico válido"
"Order does not exists","Pedido no encontrado"
"Customer reviews","Opiniones de nuestros cliente"
"A better service is possible because our clients give us his opinion. Check his opinions to know what are thinking our clients for about us:","Un mejor servicio es posible porque nuestros clientes nos dan su opinión sobre nuestro servicio. Comprueba sus opiniones para saber qué piensan nuestros clientes sobre nosotros:"
"Sorry, we can't show any review.","Lo sentimos, actualmente no podemos mostrar ninguna opinión."
"Sorry, you have already sent us a review for this order.","Lo sentimos, ya nos ha enviado una valoración para este pedido."
