"Hi! Do you want to give us your opinion about our service?","Hi! Do you want to give us your opinion about our service?"
"Hi %1,","Hi %1,"
"We are working hard to improve our service and your opinion is very important for us. Do you like to give us your feedback about your experience in our website? Please click in the next link below:","We are working hard to improve our service and your opinion is very important for us. Do you like to give us your feedback about your experience in our website? Please click in the next link below:"
"Go to website","Go to website"
"Give us your feedback","Give us your feedback"
"Your opinion is very important for us! Could you complete this form to tell us your opinion about our service?","Your opinion is very important for us! Could you complete this form to tell us your opinion about our service?"
"Very satisfied","Very satisfied"
"Satisfied","Satisfied"
"Neutral","Neutral"
"Unsatisfied","Unsatisfied"
"Very unsatisfied","Very unsatisfied"
"Delivery:","Delivery:"
"Product:","Product:"
"Customer support:","Customer support:"
"Comment:","Comment:"
"Send","Send"
"An unspecified error occurred. Please contact us for assistance.","An unspecified error occurred. Please contact us for assistance."
"Shipping value is required. Please enter the value and try again.","Shipping value is required. Please enter the value and try again."
"Product value is required. Please enter the value and try again.","Product value is required. Please enter the value and try again."
"Customer support value is required. Please enter the value and try again.","Customer support value is required. Please enter the value and try again."
"Invalid form key.","Invalid form key."
"Thanks for give us your opinion! :)","Thanks for give us your opinion! :)"
"Shipping value has a wrong value. Please enter a numeric valid value","Shipping value has a wrong value. Please enter a numeric valid value"
"Product value has a wrong value. Please enter a numeric valid value.","Product value has a wrong value. Please enter a numeric valid value."
"Customer support value has a wrong value. Please enter a numeric valid value.","Customer support value has a wrong value. Please enter a numeric valid value."
"Order does not exists","Order does not exists"
"Customer reviews","Customer reviews"
"A better service is possible because our clients give us his opinion. Check his opinions to know what are thinking our clients for about us:","A better service is possible because our clients give us his opinion. Check his opinions to know what are thinking our clients for about us:"
"Sorry, we can't show any review.","Sorry, we can't show any review."
"Sorry, you have already sent us a review for this order.","Sorry, you have already sent us a review for this order."
